Date,Event,Actual,Forecast,Previous
oct02.2009,US Factory Orders m/m,-0.8%,0.2%,1.4%
oct05.2009,US ISM Services PMI,50.9,50.0,48.4
oct07.2009,US Crude Oil Inventories,-1.0M,2.0M,2.8M
oct07.2009,US Distillate Inventories,0.7M,-0.4M,0.3M
oct07.2009,US Gasoline Inventories,2.9M,1.1M,-1.7M
oct08.2009,US Natural Gas Storage,69B,57B,64B
oct09.2009,CA Employment Change,30.6K,4.9K,27.1K
oct09.2009,CA Unemployment Rate,8.4%,8.8%,8.7%
oct09.2009,US Trade Balance,-30.7B,-32.8B,-31.9B
oct14.2009,US Retail Sales m/m,-1.5%,-2.0%,2.2%
oct15.2009,US Core CPI m/m,0.2%,0.1%,0.1%
oct15.2009,US CPI m/m,0.2%,0.2%,0.4%
oct15.2009,US Natural Gas Storage,58B,55B,69B
oct15.2009,US Crude Oil Inventories,0.4M,1.0M,-1.0M
oct15.2009,US Distillate Inventories,-1.1M,-0.1M,0.7M
oct15.2009,US Gasoline Inventories,-5.2M,1.1M,2.9M
oct16.2009,US Capacity Utilization Rate,70.5%,69.8%,69.9%
oct16.2009,US Industrial Production m/m,0.7%,0.1%,1.2%
oct21.2009,US Crude Oil Inventories,1.3M,0.9M,0.4M
oct21.2009,US Distillate Inventories,0.8M,-1.0M,-1.1M
oct21.2009,US Gasoline Inventories,-2.2M,-0.9M,-5.2M
oct22.2009,US Natural Gas Storage,18B,22B,58B
oct28.2009,US Crude Oil Inventories,0.8M,1.6M,1.3M
oct28.2009,US Distillate Inventories,-2.1M,-1.0M,0.8M
oct28.2009,US Gasoline Inventories,1.6M,-1.0M,-2.2M
oct29.2009,EZ Consumer Confidence,-18,-17,-19
oct29.2009,US Advance GDP q/q,3.5%,3.2%,-0.7%
oct29.2009,US Natural Gas Storage,25B,27B,18B
nov02.2009,US ISM Manufacturing PMI,55.7,53.1,52.6
nov03.2009,US Factory Orders m/m,0.9%,1.1%,-0.8%
nov04.2009,US ISM Services PMI,50.6,51.6,50.9
nov04.2009,US Crude Oil Inventories,-4.0M,1.7M,0.8M
nov04.2009,US Distillate Inventories,-0.4M,-1.0M,-2.1M
nov04.2009,US Gasoline Inventories,-0.3M,0.4M,1.6M
nov05.2009,US Natural Gas Storage,29B,30B,25B
nov06.2009,CA Employment Change,-43.2K,10.0K,30.6K
nov06.2009,CA Unemployment Rate,8.6%,8.5%,8.4%
nov06.2009,US Average Hourly Earnings m/m,0.3%,0.1%,0.1%
nov06.2009,US Non-Farm Employment Change,-190K,-173K,-219K
nov06.2009,US Unemployment Rate,10.2%,9.9%,9.8%
nov12.2009,US Crude Oil Inventories,1.8M,0.8M,-4.0M
nov12.2009,US Distillate Inventories,0.3M,-0.7M,-0.4M
nov12.2009,US Gasoline Inventories,2.6M,-0.4M,-0.3M
nov13.2009,US Trade Balance,-36.5B,-31.8B,-30.8B
nov13.2009,US Natural Gas Storage,25B,17B,29B
nov16.2009,US Retail Sales m/m,1.4%,1.0%,-2.3%
nov17.2009,US Capacity Utilization Rate,70.7%,70.9%,70.5%
nov17.2009,US Industrial Production m/m,0.1%,0.4%,0.6%
nov18.2009,US Core CPI m/m,0.2%,0.1%,0.2%
nov18.2009,US CPI m/m,0.3%,0.2%,0.2%
nov18.2009,US Crude Oil Inventories,-0.9M,0.8M,1.8M
nov18.2009,US Distillate Inventories,-0.3M,-0.9M,0.3M
nov18.2009,US Gasoline Inventories,-1.8M,0.0M,2.6M
nov19.2009,US Natural Gas Storage,20B,21B,25B
nov25.2009,US Crude Oil Inventories,1.0M,1.6M,-0.9M
nov25.2009,US Distillate Inventories,-0.5M,0.0M,-0.3M
nov25.2009,US Gasoline Inventories,1.0M,0.3M,-1.8M
nov25.2009,US Natural Gas Storage,2B,17B,20B
nov27.2009,EZ Consumer Confidence,-17,-18,-18
dec01.2009,US ISM Manufacturing PMI,53.6,54.8,55.7
dec10.2009,US Trade Balance,-32.9B,-36.9B,-35.7B
dec10.2009,US Natural Gas Storage,-64B,-45B,2B
dec11.2009,US Retail Sales m/m,1.3%,0.6%,1.1%
dec15.2009,US Capacity Utilization Rate,71.3%,71.1%,70.6%
dec15.2009,US Industrial Production m/m,0.8%,0.6%,0.0%
dec16.2009,US Core CPI m/m,0.0%,0.1%,0.2%
dec16.2009,US CPI m/m,0.4%,0.4%,0.3%
dec16.2009,US Crude Oil Inventories,-3.7M,-2.1M,-3.8M
dec16.2009,US Distillate Inventories,-3.0M,-0.5M,1.6M
dec16.2009,US Gasoline Inventories,0.9M,1.3M,2.3M
dec17.2009,US Natural Gas Storage,-207B,-175B,-64B
dec23.2009,US Crude Oil Inventories,-4.9M,-1.5M,-3.7M
dec23.2009,US Distillate Inventories,-3.0M,-2.0M,-3.0M
dec23.2009,US Gasoline Inventories,-0.9M,1.0M,0.9M
dec24.2009,US Natural Gas Storage,-166B,-171B,-207B
dec30.2009,US Crude Oil Inventories,-1.5M,-1.7M,-4.9M
dec30.2009,US Distillate Inventories,-2.1M,-2.2M,-3.0M
dec30.2009,US Gasoline Inventories,-0.4M,1.0M,-0.9M
dec31.2009,US Natural Gas Storage,-124B,-143B,-166B
jan04.2010,US ISM Manufacturing PMI,55.9,54.1,53.6
jan05.2010,US Factory Orders m/m,1.1%,0.5%,0.8%
jan06.2010,US ISM Services PMI,50.1,50.5,48.7
jan06.2010,US Crude Oil Inventories,1.3M,-0.4M,-1.5M
jan06.2010,US Distillate Inventories,-0.2M,-1.9M,-2.1M
jan06.2010,US Gasoline Inventories,3.7M,0.8M,-0.4M
jan07.2010,EZ Consumer Confidence,-16,-16,-17
jan07.2010,US Natural Gas Storage,-153B,-147B,-124B
jan08.2010,CA Employment Change,-2.6K,20.2K,79.1K
jan08.2010,CA Unemployment Rate,8.5%,8.5%,8.5%
jan08.2010,US Average Hourly Earnings m/m,0.2%,0.2%,0.2%
jan08.2010,US Non-Farm Employment Change,-85K,-3K,4K
jan08.2010,US Unemployment Rate,10.0%,10.1%,10.0%
jan12.2010,US Trade Balance,-36.4B,-34.9B,-33.2B
jan14.2010,US Retail Sales m/m,-0.3%,0.4%,1.8%
jan14.2010,US Natural Gas Storage,-266B,-255B,-153B
jan15.2010,US Core CPI m/m,0.1%,0.1%,0.0%
jan15.2010,US CPI m/m,0.1%,0.2%,0.4%
jan15.2010,US Capacity Utilization Rate,72.0%,71.9%,71.5%
jan15.2010,US Industrial Production m/m,0.6%,0.7%,0.6%
jan21.2010,EZ Consumer Confidence,-16,-15,-16
jan21.2010,US Natural Gas Storage,-245B,-214B,-266B
jan21.2010,US Crude Oil Inventories,-0.4M,2.2M,3.7M
jan21.2010,US Distillate Inventories,-3.3M,-0.4M,1.4M
jan21.2010,US Gasoline Inventories,4.0M,1.8M,3.8M
jan27.2010,US Crude Oil Inventories,-3.9M,1.4M,-0.4M
jan27.2010,US Distillate Inventories,0.4M,-1.8M,-3.3M
jan27.2010,US Gasoline Inventories,2.0M,0.9M,4.0M
jan28.2010,US Natural Gas Storage,-86B,-102B,-245B
jan29.2010,US Advance GDP q/q,5.7%,4.5%,2.2%
feb01.2010,US ISM Manufacturing PMI,58.4,55.5,55.9
feb03.2010,US ISM Services PMI,50.5,51.1,50.1
feb03.2010,US Crude Oil Inventories,2.3M,0.4M,-3.9M
feb03.2010,US Distillate Inventories,-0.9M,-1.5M,0.4M
feb03.2010,US Gasoline Inventories,-1.3M,1.4M,2.0M
feb04.2010,US Factory Orders m/m,1.0%,0.7%,1.0%
feb04.2010,US Natural Gas Storage,-115B,-123B,-86B
feb05.2010,CA Employment Change,43.0K,15.2K,-2.6K
feb05.2010,CA Unemployment Rate,8.3%,8.5%,8.5%
feb05.2010,US Average Hourly Earnings m/m,0.2%,0.2%,0.2%
feb05.2010,US Non-Farm Employment Change,-20K,10K,-150K
feb05.2010,US Unemployment Rate,9.7%,10.0%,10.0%
feb10.2010,US Trade Balance,-40.2B,-35.8B,-36.4B
feb12.2010,US Retail Sales m/m,0.5%,0.4%,-0.1%
feb12.2010,US Natural Gas Storage,-191B,-176B,-115B
feb12.2010,US Crude Oil Inventories,2.4M,1.4M,2.3M
feb12.2010,US Distillate Inventories,2.3M,0.6M,-0.9M
feb12.2010,US Gasoline Inventories,-0.4M,-1.5M,-1.3M
feb17.2010,US Capacity Utilization Rate,72.6%,72.6%,71.9%
feb17.2010,US Industrial Production m/m,0.9%,0.7%,0.7%
feb18.2010,EZ Consumer Confidence,-17,-17,-16
feb18.2010,US Natural Gas Storage,-190B,-185B,-191B
feb18.2010,US Crude Oil Inventories,3.1M,1.5M,2.4M
feb18.2010,US Distillate Inventories,-2.9M,-1.5M,2.3M
feb18.2010,US Gasoline Inventories,1.6M,1.5M,-0.4M
feb19.2010,US Core CPI m/m,-0.1%,0.2%,0.1%
feb19.2010,US CPI m/m,0.2%,0.3%,0.1%
feb24.2010,US Crude Oil Inventories,3.0M,1.8M,3.1M
feb24.2010,US Distillate Inventories,-0.6M,-1.5M,-2.9M
feb24.2010,US Gasoline Inventories,-0.9M,0.6M,1.6M
feb25.2010,US Natural Gas Storage,-172B,-165B,-190B
mar01.2010,US ISM Manufacturing PMI,56.5,57.7,58.4
mar03.2010,US ISM Services PMI,53.0,51.0,50.5
mar03.2010,US Crude Oil Inventories,4.1M,1.2M,3.0M
mar03.2010,US Distillate Inventories,-0.8M,-1.0M,-0.6M
mar03.2010,US Gasoline Inventories,0.8M,0.3M,-0.9M
mar04.2010,US Factory Orders m/m,1.7%,1.4%,1.5%
mar04.2010,US Natural Gas Storage,-116B,-130B,-172B
mar05.2010,US Average Hourly Earnings m/m,0.1%,0.2%,0.2%
mar05.2010,US Non-Farm Employment Change,-36K,-56K,-26K
mar05.2010,US Unemployment Rate,9.7%,9.8%,9.7%
mar10.2010,US Crude Oil Inventories,1.4M,1.9M,4.1M
mar10.2010,US Distillate Inventories,-2.2M,-1.0M,-0.8M
mar10.2010,US Gasoline Inventories,-3.0M,0.0M,0.8M
mar11.2010,US Trade Balance,-37.3B,-40.9B,-39.9B
mar11.2010,US Natural Gas Storage,-111B,-107B,-116B
mar12.2010,CA Employment Change,20.9K,17.5K,43.0K
mar12.2010,CA Unemployment Rate,8.2%,8.3%,8.3%
mar12.2010,US Retail Sales m/m,0.3%,-0.1%,0.1%
mar15.2010,US Capacity Utilization Rate,72.7%,72.7%,72.5%
mar15.2010,US Industrial Production m/m,0.1%,0.1%,0.9%
mar17.2010,US Crude Oil Inventories,1.0M,0.6M,1.4M
mar17.2010,US Distillate Inventories,-1.5M,-1.4M,-2.2M
mar17.2010,US Gasoline Inventories,-1.7M,-1.3M,-3.0M
mar18.2010,US Core CPI m/m,0.1%,0.1%,-0.1%
mar18.2010,US CPI m/m,0.0%,0.1%,0.2%
mar18.2010,US Natural Gas Storage,-11B,-37B,-111B
mar22.2010,EZ Consumer Confidence,-17,-17,-17
mar24.2010,US Crude Oil Inventories,7.3M,1.3M,1.0M
mar24.2010,US Distillate Inventories,-2.4M,-1.0M,-1.5M
mar24.2010,US Gasoline Inventories,-2.7M,-1.5M,-1.7M
mar25.2010,US Natural Gas Storage,11B,10B,-11B
mar31.2010,US Factory Orders m/m,0.6%,0.5%,2.5%
mar31.2010,US Crude Oil Inventories,2.9M,2.4M,7.3M
mar31.2010,US Distillate Inventories,-1.1M,-1.4M,-2.4M
mar31.2010,US Gasoline Inventories,0.3M,-1.9M,-2.7M
apr01.2010,US ISM Manufacturing PMI,59.6,57.0,56.5
apr01.2010,US Natural Gas Storage,12B,20B,11B
apr02.2010,US Average Hourly Earnings m/m,-0.1%,0.2%,0.2%
apr02.2010,US Non-Farm Employment Change,162K,185K,-14K
apr02.2010,US Unemployment Rate,9.7%,9.7%,9.7%
apr05.2010,US ISM Services PMI,55.4,54.1,53.0
apr07.2010,US Crude Oil Inventories,2.0M,1.0M,2.9M
apr07.2010,US Distillate Inventories,1.1M,-1.1M,-1.1M
apr07.2010,US Gasoline Inventories,-2.5M,-1.0M,0.3M
apr08.2010,US Natural Gas Storage,31B,29B,12B
apr09.2010,CA Employment Change,17.9K,25.9K,20.9K
apr09.2010,CA Unemployment Rate,8.2%,8.1%,8.2%
apr13.2010,US Trade Balance,-39.7B,-38.5B,-37.0B
apr14.2010,US Retail Sales m/m,1.6%,1.1%,0.5%
apr14.2010,US Core CPI m/m,0.0%,0.1%,0.1%
apr14.2010,US CPI m/m,0.1%,0.1%,0.0%
apr14.2010,US Crude Oil Inventories,-2.2M,1.4M,2.0M
apr14.2010,US Distillate Inventories,1.1M,1.0M,1.1M
apr14.2010,US Gasoline Inventories,-1.0M,-1.0M,-2.5M
apr15.2010,US Capacity Utilization Rate,73.2%,73.3%,73.0%
apr15.2010,US Industrial Production m/m,0.1%,0.6%,0.3%
apr15.2010,US Natural Gas Storage,87B,81B,31B
apr21.2010,US Crude Oil Inventories,1.9M,0.1M,-2.2M
apr21.2010,US Distillate Inventories,2.1M,1.0M,1.1M
apr21.2010,US Gasoline Inventories,3.6M,0.5M,-1.0M
apr22.2010,EZ Consumer Confidence,-15,-17,-17
apr22.2010,US Natural Gas Storage,73B,77B,87B
apr28.2010,US Crude Oil Inventories,1.9M,0.9M,1.9M
apr28.2010,US Distillate Inventories,2.9M,1.5M,2.1M
apr28.2010,US Gasoline Inventories,-1.2M,0.9M,3.6M
apr29.2010,US Natural Gas Storage,83B,70B,73B
apr30.2010,US Advance GDP q/q,3.2%,3.4%,5.6%
may03.2010,US ISM Manufacturing PMI,60.4,60.0,59.6
may04.2010,US Factory Orders m/m,1.3%,0.0%,1.3%
may05.2010,US ISM Services PMI,55.4,56.1,55.4
may05.2010,US Crude Oil Inventories,2.8M,0.6M,1.9M
may05.2010,US Distillate Inventories,0.6M,2.0M,2.9M
may05.2010,US Gasoline Inventories,1.3M,1.0M,-1.2M
may06.2010,US Natural Gas Storage,83B,79B,83B
may07.2010,CA Employment Change,108.7K,24.3K,17.9K
may07.2010,CA Unemployment Rate,8.1%,8.2%,8.2%
may07.2010,US Average Hourly Earnings m/m,0.0%,0.2%,-0.1%
may07.2010,US Non-Farm Employment Change,290K,198K,230K
may07.2010,US Unemployment Rate,9.9%,9.7%,9.7%
may12.2010,US Trade Balance,-40.4B,-40.0B,-39.4B
may12.2010,US Crude Oil Inventories,1.9M,1.0M,2.8M
may12.2010,US Distillate Inventories,1.4M,1.2M,0.6M
may12.2010,US Gasoline Inventories,-2.8M,0.4M,1.3M
may13.2010,US Natural Gas Storage,94B,102B,83B
may14.2010,US Retail Sales m/m,0.4%,0.3%,2.1%
may14.2010,US Capacity Utilization Rate,73.7%,73.8%,73.1%
may14.2010,US Industrial Production m/m,0.8%,0.6%,0.2%
may19.2010,US Core CPI m/m,0.0%,0.1%,0.0%
may19.2010,US CPI m/m,-0.1%,0.2%,0.1%
may19.2010,US Crude Oil Inventories,0.2M,0.7M,1.9M
may19.2010,US Distillate Inventories,-1.0M,1.0M,1.4M
may19.2010,US Gasoline Inventories,-0.3M,-0.9M,-2.8M
may20.2010,EZ Consumer Confidence,-18,-15,-15
may20.2010,US Natural Gas Storage,76B,79B,94B
may26.2010,US Crude Oil Inventories,2.4M,0.2M,0.2M
may26.2010,US Distillate Inventories,-0.3M,0.5M,-1.0M
may26.2010,US Gasoline Inventories,-0.2M,0.3M,-0.3M
may27.2010,US Natural Gas Storage,104B,101B,76B
jun01.2010,US ISM Manufacturing PMI,59.7,59.3,60.4
jun03.2010,US Factory Orders m/m,1.2%,1.7%,1.7%
jun03.2010,US ISM Services PMI,55.4,55.7,55.4
jun03.2010,US Natural Gas Storage,88B,90B,104B
jun03.2010,US Crude Oil Inventories,-1.9M,-0.4M,2.4M
jun03.2010,US Distillate Inventories,0.4M,0.2M,-0.3M
jun03.2010,US Gasoline Inventories,-2.6M,-0.5M,-0.2M
jun04.2010,CA Employment Change,24.7K,16.8K,108.7K
jun04.2010,CA Unemployment Rate,8.1%,8.1%,8.1%
jun04.2010,US Average Hourly Earnings m/m,0.3%,0.1%,0.1%
jun04.2010,US Non-Farm Employment Change,431K,521K,290K
jun04.2010,US Unemployment Rate,9.7%,9.8%,9.9%
jun09.2010,US Crude Oil Inventories,-1.8M,-1.1M,-1.9M
jun09.2010,US Distillate Inventories,1.8M,0.5M,0.4M
jun09.2010,US Gasoline Inventories,0.0M,-0.5M,-2.6M
jun10.2010,US Trade Balance,-40.3B,-40.8B,-40.0B
jun10.2010,US Natural Gas Storage,99B,91B,88B
jun11.2010,US Retail Sales m/m,-1.2%,0.2%,0.6%
jun16.2010,US Capacity Utilization Rate,74.7%,74.6%,73.7%
jun16.2010,US Industrial Production m/m,1.2%,0.9%,0.7%
jun16.2010,US Crude Oil Inventories,1.7M,-1.5M,-1.8M
jun16.2010,US Distillate Inventories,1.8M,1.0M,1.8M
jun16.2010,US Gasoline Inventories,-0.6M,0.0M,0.0M
jun17.2010,US Core CPI m/m,0.1%,0.1%,0.0%
jun17.2010,US CPI m/m,-0.2%,-0.2%,-0.1%
jun17.2010,US Natural Gas Storage,87B,86B,99B
jun22.2010,EZ Consumer Confidence,-17,-19,-18
jun23.2010,US Crude Oil Inventories,2.0M,-1.2M,1.7M
jun23.2010,US Distillate Inventories,0.3M,1.5M,1.8M
jun23.2010,US Gasoline Inventories,-0.8M,-0.2M,-0.6M
jun24.2010,US Natural Gas Storage,81B,80B,87B
jun30.2010,US Crude Oil Inventories,-2.0M,-0.9M,2.0M
jun30.2010,US Distillate Inventories,2.5M,-0.4M,0.3M
jun30.2010,US Gasoline Inventories,0.5M,-0.2M,-0.8M
jul01.2010,US ISM Manufacturing PMI,56.2,58.9,59.7
jul01.2010,US Natural Gas Storage,60B,65B,81B
jul02.2010,US Average Hourly Earnings m/m,-0.1%,0.1%,0.2%
jul02.2010,US Non-Farm Employment Change,-125K,-106K,433K
jul02.2010,US Unemployment Rate,9.5%,9.8%,9.7%
jul02.2010,US Factory Orders m/m,-1.4%,-0.5%,1.0%
jul06.2010,US ISM Services PMI,53.8,55.1,55.4
jul08.2010,US Natural Gas Storage,78B,71B,60B
jul08.2010,US Crude Oil Inventories,-5.0M,-1.8M,-2.0M
jul08.2010,US Distillate Inventories,0.3M,1.6M,2.5M
jul08.2010,US Gasoline Inventories,1.3M,0.1M,0.5M
jul09.2010,CA Employment Change,93.2K,17.9K,24.7K
jul09.2010,CA Unemployment Rate,7.9%,8.1%,8.1%
jul13.2010,US Trade Balance,-42.3B,-39.3B,-40.3B
jul14.2010,US Retail Sales m/m,-0.5%,-0.2%,-1.1%
jul14.2010,US Crude Oil Inventories,-5.1M,-1.1M,-5.0M
jul14.2010,US Distillate Inventories,2.9M,1.0M,0.3M
jul14.2010,US Gasoline Inventories,1.6M,0.0M,1.3M
jul15.2010,US Capacity Utilization Rate,74.1%,74.2%,74.1%
jul15.2010,US Industrial Production m/m,0.1%,0.0%,1.3%
jul15.2010,US Natural Gas Storage,78B,74B,78B
jul16.2010,US Core CPI m/m,0.2%,0.1%,0.1%
jul16.2010,US CPI m/m,-0.1%,0.0%,-0.2%
jul21.2010,US Crude Oil Inventories,0.4M,-1.1M,-5.1M
jul21.2010,US Distillate Inventories,3.9M,1.5M,2.9M
jul21.2010,US Gasoline Inventories,1.1M,0.7M,1.6M
jul22.2010,EZ Consumer Confidence,-14,-17,-17
jul22.2010,US Natural Gas Storage,51B,53B,78B
jul28.2010,US Crude Oil Inventories,7.3M,-1.4M,0.4M
jul28.2010,US Distillate Inventories,0.9M,2.0M,3.9M
jul28.2010,US Gasoline Inventories,0.1M,0.3M,1.1M
jul29.2010,US Natural Gas Storage,28B,31B,51B
jul30.2010,US Advance GDP q/q,2.4%,2.5%,2.7%
aug02.2010,US ISM Manufacturing PMI,55.5,54.2,56.2
aug03.2010,US Factory Orders m/m,-1.2%,-0.2%,-1.8%
aug04.2010,US ISM Services PMI,54.3,53.2,53.8
aug04.2010,US Crude Oil Inventories,-2.8M,-0.9M,7.3M
aug04.2010,US Distillate Inventories,2.2M,1.0M,0.9M
aug04.2010,US Gasoline Inventories,0.7M,-1.0M,0.1M
aug05.2010,US Natural Gas Storage,29B,32B,28B
aug06.2010,CA Employment Change,-9.3K,13.7K,93.2K
aug06.2010,CA Unemployment Rate,8.0%,7.9%,7.9%
aug06.2010,US Average Hourly Earnings m/m,0.2%,0.1%,0.0%
aug06.2010,US Non-Farm Employment Change,-131K,-63K,-221K
aug06.2010,US Unemployment Rate,9.5%,9.6%,9.5%
aug11.2010,US Trade Balance,-49.9B,-42.0B,-42.0B
aug11.2010,US Crude Oil Inventories,-3.0M,-1.9M,-2.8M
aug11.2010,US Distillate Inventories,3.5M,1.8M,2.2M
aug11.2010,US Gasoline Inventories,0.4M,0.3M,0.7M
aug12.2010,US Natural Gas Storage,37B,35B,29B
aug13.2010,US Retail Sales m/m,0.4%,0.5%,-0.3%
aug13.2010,US Core CPI m/m,0.1%,0.1%,0.2%
aug13.2010,US CPI m/m,0.3%,0.2%,-0.1%
aug17.2010,US Capacity Utilization Rate,74.8%,74.6%,74.1%
aug17.2010,US Industrial Production m/m,1.0%,0.5%,-0.1%
aug18.2010,US Crude Oil Inventories,-0.8M,-1.1M,-3.0M
aug18.2010,US Distillate Inventories,1.1M,1.5M,3.5M
aug18.2010,US Gasoline Inventories,0.0M,0.4M,0.4M
aug19.2010,US Natural Gas Storage,27B,32B,37B
aug23.2010,EZ Consumer Confidence,-12,-13,-14
aug25.2010,US Crude Oil Inventories,4.1M,0.1M,-0.8M
aug25.2010,US Distillate Inventories,1.8M,1.1M,1.1M
aug25.2010,US Gasoline Inventories,2.3M,-0.5M,0.0M
aug26.2010,US Natural Gas Storage,40B,38B,27B
sep01.2010,US ISM Manufacturing PMI,56.3,53.2,55.5
sep01.2010,US Crude Oil Inventories,3.4M,1.3M,4.1M
sep01.2010,US Distillate Inventories,-0.7M,1.1M,1.8M
sep01.2010,US Gasoline Inventories,-0.2M,-0.2M,2.3M
sep02.2010,US Factory Orders m/m,0.1%,0.4%,-0.6%
sep02.2010,US Natural Gas Storage,54B,56B,40B
sep03.2010,US Average Hourly Earnings m/m,0.3%,0.1%,0.2%
sep03.2010,US Non-Farm Employment Change,-54K,-101K,-54K
sep03.2010,US Unemployment Rate,9.6%,9.6%,9.5%
sep03.2010,US ISM Services PMI,51.5,53.6,54.3
sep09.2010,US Trade Balance,-42.8B,-47.4B,-49.8B
sep09.2010,US Natural Gas Storage,58B,51B,54B
sep09.2010,US Crude Oil Inventories,-1.9M,0.7M,3.4M
sep09.2010,US Distillate Inventories,-0.4M,0.7M,-0.7M
sep09.2010,US Gasoline Inventories,-0.2M,-1.0M,-0.2M
sep10.2010,CA Employment Change,35.8K,30.8K,-9.3K
sep10.2010,CA Unemployment Rate,8.1%,8.0%,8.0%
sep14.2010,US Retail Sales m/m,0.4%,0.4%,0.3%
sep15.2010,US Capacity Utilization Rate,74.7%,75.1%,74.6%
sep15.2010,US Industrial Production m/m,0.2%,0.3%,0.6%
sep15.2010,US Crude Oil Inventories,-2.5M,-2.6M,-1.9M
sep15.2010,US Distillate Inventories,-0.3M,0.6M,-0.4M
sep15.2010,US Gasoline Inventories,-0.7M,-0.5M,-0.2M
sep16.2010,US Natural Gas Storage,103B,93B,58B
sep17.2010,US Core CPI m/m,0.0%,0.1%,0.1%
sep17.2010,US CPI m/m,0.3%,0.2%,0.3%
sep22.2010,EZ Consumer Confidence,-11,-10,-11
sep22.2010,US Crude Oil Inventories,1.0M,-1.5M,-2.5M
sep22.2010,US Distillate Inventories,0.3M,0.1M,-0.3M
sep22.2010,US Gasoline Inventories,1.6M,-0.3M,-0.7M
sep23.2010,US Natural Gas Storage,73B,82B,103B
sep29.2010,US Crude Oil Inventories,-0.5M,-0.4M,1.0M
sep29.2010,US Distillate Inventories,-1.3M,0.4M,0.3M
sep29.2010,US Gasoline Inventories,-3.5M,0.4M,1.6M
sep30.2010,US Natural Gas Storage,74B,68B,73B
oct01.2010,US ISM Manufacturing PMI,54.4,54.6,56.3
oct04.2010,US Factory Orders m/m,-0.5%,-0.3%,0.5%
oct05.2010,US ISM Services PMI,53.2,52.1,51.5
oct06.2010,US Crude Oil Inventories,3.1M,0.5M,-0.5M
oct06.2010,US Distillate Inventories,-1.1M,-1.0M,-1.3M
oct06.2010,US Gasoline Inventories,-2.6M,-0.3M,-3.5M
oct07.2010,US Natural Gas Storage,85B,78B,74B
oct08.2010,CA Employment Change,-6.6K,10.7K,35.8K
oct08.2010,CA Unemployment Rate,8.0%,8.1%,8.1%
oct08.2010,US Average Hourly Earnings m/m,0.0%,0.2%,0.3%
oct08.2010,US Non-Farm Employment Change,-95K,1K,-57K
oct08.2010,US Unemployment Rate,9.6%,9.7%,9.6%
oct14.2010,US Trade Balance,-46.3B,-43.5B,-42.6B
oct14.2010,US Distillate Inventories,-0.3M,-1.1M,-1.1M
oct14.2010,US Gasoline Inventories,-1.8M,-1.5M,-2.6M
oct14.2010,US Natural Gas Storage,91B,88B,85B
oct14.2010,US Crude Oil Inventories,-0.4M,1.5M,3.1M
oct15.2010,US Retail Sales m/m,0.6%,0.5%,0.7%
oct15.2010,US Core CPI m/m,0.0%,0.1%,0.0%
oct15.2010,US CPI m/m,0.1%,0.2%,0.3%
oct18.2010,US Capacity Utilization Rate,74.7%,74.8%,74.8%
oct18.2010,US Industrial Production m/m,-0.2%,0.3%,0.2%
oct20.2010,US Crude Oil Inventories,0.7M,1.5M,-0.4M
oct20.2010,US Distillate Inventories,-2.2M,-1.0M,-0.3M
oct20.2010,US Gasoline Inventories,1.2M,-1.5M,-1.8M
oct21.2010,EZ Consumer Confidence,-11,-10,-11
oct21.2010,US Natural Gas Storage,93B,87B,91B
oct27.2010,US Crude Oil Inventories,5.0M,1.1M,0.7M
oct27.2010,US Distillate Inventories,-1.6M,-1.5M,-2.2M
oct27.2010,US Gasoline Inventories,-4.4M,0.6M,1.2M
oct28.2010,US Natural Gas Storage,71B,72B,93B
oct29.2010,US Advance GDP q/q,2.0%,2.1%,1.7%
nov01.2010,US ISM Manufacturing PMI,56.9,54.2,54.4
nov03.2010,US Factory Orders m/m,2.1%,1.3%,0.0%
nov03.2010,US ISM Services PMI,54.3,53.5,53.2
nov03.2010,US Crude Oil Inventories,2.0M,1.7M,5.0M
nov03.2010,US Distillate Inventories,-3.6M,-1.1M,-1.6M
nov03.2010,US Gasoline Inventories,-2.7M,0.0M,-4.4M
nov04.2010,US Natural Gas Storage,67B,62B,71B
nov05.2010,CA Employment Change,3.0K,14.3K,-6.6K
nov05.2010,CA Unemployment Rate,7.9%,8.0%,8.0%
nov05.2010,US Average Hourly Earnings m/m,0.2%,0.2%,0.1%
nov05.2010,US Non-Farm Employment Change,151K,63K,-41K
nov05.2010,US Unemployment Rate,9.6%,9.6%,9.6%
nov10.2010,US Trade Balance,-44.0B,-45.0B,-46.5B
nov10.2010,US Crude Oil Inventories,-3.3M,1.1M,2.0M
nov10.2010,US Distillate Inventories,-5.0M,-2.1M,-3.6M
nov10.2010,US Gasoline Inventories,-1.9M,-1.1M,-2.7M
nov10.2010,US Natural Gas Storage,19B,24B,67B
nov15.2010,US Retail Sales m/m,1.2%,0.7%,0.7%
nov16.2010,US Capacity Utilization Rate,74.8%,74.9%,74.8%
nov16.2010,US Industrial Production m/m,0.0%,0.4%,-0.2%
nov17.2010,US Core CPI m/m,0.0%,0.1%,0.0%
nov17.2010,US CPI m/m,0.2%,0.3%,0.1%
nov17.2010,US Crude Oil Inventories,-7.3M,-0.5M,-3.3M
nov17.2010,US Distillate Inventories,-1.1M,-2.0M,-5.0M
nov17.2010,US Gasoline Inventories,-2.7M,-0.8M,-1.9M
nov18.2010,US Natural Gas Storage,3B,11B,19B
nov22.2010,EZ Consumer Confidence,-10,-10,-11
